id,date,crypto_name,symbol,open_price,high_price,low_price,close_price,volume,market_cap,transactions,dominance,sentiment_score,news_mentions
143,2023-01-29,Cardano,ADA,15732.81,16444.64,15076.47,15575.18,3015983385,5912376637.046834,231155,39.95,-0.22,4484
144,2023-01-29,Solana,SOL,17845.15,18688.29,17304.43,18102.25,44658848217,89143173826.60773,193269,47.1,-0.22,1094
145,2023-01-29,Binance Coin,BNB,41100.8,41916.45,39059.67,39811.24,39541158877,74240622729.77827,32204,31.16,0.31,3200
146,2023-01-30,Bitcoin,BTC,22685.57,23091.22,20514.11,21590.5,11979348427,26985250464.808327,74245,38.22,0.87,1965
147,2023-01-30,Ethereum,ETH,40507.07,41465.52,39153.44,40468.14,22637649873,37854203409.05484,404280,49.22,-0.41,1003
148,2023-01-30,Cardano,ADA,35463.26,36109.64,33381.32,34572.2,47179297451,96693365207.34384,375890,44.19,0.18,3248
149,2023-01-30,Solana,SOL,25423.85,26491.5,24350.33,25520.11,8048476121,16494605610.405716,76868,24.95,-0.89,4474
150,2023-01-30,Binance Coin,BNB,19589.26,20635.86,18799.13,19686.72,37388238278,70056737557.84447,236387,14.67,0.84,4542
151,2023-01-31,Bitcoin,BTC,42038.61,43717.85,40530.16,42301.37,11620347396,28322082728.8972,68445,38.31,0.99,475
152,2023-01-31,Ethereum,ETH,6591.17,6758.86,6407.42,6566.0,26006939238,55954789859.87105,125504,44.89,-0.96,1490
153,2023-01-31,Cardano,ADA,10216.34,10677.6,10082.98,10292.3,14133845853,26259106267.65428,265502,37.84,-0.12,1776
154,2023-01-31,Solana,SOL,1886.85,1949.34,1855.72,1877.04,21397705734,47709341392.248505,310344,29.52,-0.37,101
155,2023-01-31,Binance Coin,BNB,20306.72,21174.25,19620.97,20418.98,40953294689,68820606264.86679,463284,3.16,0.77,1131
156,2023-02-01,Bitcoin,BTC,46604.85,48342.35,44812.48,45623.74,13146235892,31335057514.240665,82618,10.63,0.96,4922
157,2023-02-01,Ethereum,ETH,3440.27,3772.87,3367.26,3611.14,4677501439,10444665053.608122,445669,14.53,0.65,1075
158,2023-02-01,Cardano,ADA,26736.95,27103.27,25484.65,26735.94,15971646118,34466509025.354095,146642,21.01,-0.06,1286
159,2023-02-01,Solana,SOL,2691.93,2798.84,2582.4,2749.69,48217245843,109626713174.7359,334016,39.9,0.2,1284
160,2023-02-01,Binance Coin,BNB,11507.34,12535.08,11113.24,12035.21,23567436092,36384940668.99753,25675,15.28,-0.88,967
161,2023-02-02,Bitcoin,BTC,44456.27,46576.71,41792.23,42915.75,39188771414,76712538740.73148,234886,37.4,0.08,3980
162,2023-02-02,Ethereum,ETH,49341.58,50796.02,46168.66,47166.31,3461915499,8543339880.564766,103161,28.65,0.52,218
163,2023-02-02,Cardano,ADA,43604.86,44865.46,41251.13,42617.98,42050896150,70684044886.82222,348834,21.88,-0.86,4741
164,2023-02-02,Solana,SOL,9905.69,10264.72,9561.1,10030.81,3879482933,7745674987.019005,392382,20.2,0.26,958
165,2023-02-02,Binance Coin,BNB,15428.93,15776.42,14740.29,15220.09,1217296802,2735032999.259194,184835,11.09,0.87,541
166,2023-02-03,Bitcoin,BTC,2440.61,2547.13,2350.89,2508.19,43528990592,66968105834.47871,173402,27.12,-0.58,3163
167,2023-02-03,Ethereum,ETH,31744.13,32571.09,30813.34,31211.0,21991287156,37198602739.24956,432194,46.82,-0.0,1327
168,2023-02-03,Cardano,ADA,37293.97,38677.44,34575.65,35998.04,24537061345,58613537445.12446,318007,43.67,-0.13,3298
169,2023-02-03,Solana,SOL,30815.46,31459.83,29292.93,29955.33,49960152288,115076190593.7861,378856,38.89,-0.21,2536
170,2023-02-03,Binance Coin,BNB,4424.3,4509.29,4226.67,4343.47,30978995317,59353826099.58186,228555,13.94,-0.35,2280
171,2023-02-04,Bitcoin,BTC,2004.67,2111.11,1942.06,2042.96,44546963230,99265984405.73857,83779,46.64,-0.32,583
172,2023-02-04,Ethereum,ETH,36608.5,37200.15,34227.83,35430.03,5363210124,11598128986.550714,455791,34.15,-0.31,119
173,2023-02-04,Cardano,ADA,37775.29,40127.88,37119.3,39364.35,29168581376,52435036688.00123,226797,5.61,0.75,1992
174,2023-02-04,Solana,SOL,37477.48,37934.79,35239.07,35747.05,48397074164,90036672616.3574,62261,4.33,0.58,4103
175,2023-02-04,Binance Coin,BNB,26091.49,26413.44,24857.51,25805.08,40183078141,93516078279.88374,409440,13.62,0.22,863
176,2023-02-05,Bitcoin,BTC,31334.36,32114.88,30962.22,31392.2,35938543949,82805897483.5124,111514,42.2,-0.04,2911
177,2023-02-05,Ethereum,ETH,20264.67,22016.67,19395.62,21133.74,1617257261,3627978339.4142337,60528,33.75,0.21,4616
178,2023-02-05,Cardano,ADA,4673.95,5068.2,4590.75,4893.58,26755744398,60483045931.914055,110315,19.26,0.19,23
179,2023-02-05,Solana,SOL,35634.37,38820.33,35103.22,37306.87,24547200847,42637763300.957695,380863,6.68,-0.59,1398
180,2023-02-05,Binance Coin,BNB,5058.7,5298.23,4768.33,4943.68,20143007362,39172496186.917046,191910,15.8,-0.84,904
181,2023-02-06,Bitcoin,BTC,24517.96,25064.09,23507.66,23986.4,13797061150,33871883980.715076,486564,28.72,0.48,3656
182,2023-02-06,Ethereum,ETH,33709.48,34280.67,32200.45,32843.31,43354816999,67485033203.21927,311724,29.73,-0.65,4256
183,2023-02-06,Cardano,ADA,49516.95,50777.25,48366.1,49039.1,26221757693,43135682613.16688,236890,40.0,-0.28,4131
184,2023-02-06,Solana,SOL,11078.21,11825.96,10658.46,11519.29,42392119995,81141929288.3628,67362,6.62,0.8,2307
185,2023-02-06,Binance Coin,BNB,12170.54,13240.58,11596.57,12640.9,35880721978,58511011076.066765,213823,36.08,-0.75,2910
186,2023-02-07,Bitcoin,BTC,46253.91,50055.85,45544.46,48210.39,37537457297,81935726417.13867,80360,22.74,0.82,539
187,2023-02-07,Ethereum,ETH,43225.16,43783.45,41227.12,42396.84,46649366640,94357347448.39749,439296,5.52,-0.35,333
188,2023-02-07,Cardano,ADA,9237.98,9513.87,8968.52,9306.77,35780276188,67509054191.76654,323020,27.23,0.35,4268
189,2023-02-07,Solana,SOL,12118.01,12327.34,11172.41,11516.84,2401736518,4308411830.229019,375826,29.14,0.65,1843
190,2023-02-07,Binance Coin,BNB,5094.64,5268.67,4971.71,5202.89,4183588093,8650481038.258175,88581,42.44,-0.73,1925
191,2023-02-08,Bitcoin,BTC,49923.84,52299.67,48684.37,49278.16,7626169128,16229886709.292229,458897,29.92,0.09,1501
192,2023-02-08,Ethereum,ETH,7593.04,7829.28,7115.59,7266.61,39258209054,70905995560.0007,171601,24.47,-0.4,3431
193,2023-02-08,Cardano,ADA,6601.72,6800.16,6248.86,6554.09,32223594209,63304276826.89186,129020,35.85,0.82,2532
194,2023-02-08,Solana,SOL,5851.55,6045.84,5602.08,5898.47,39536811199,62930620210.946304,47847,36.83,-0.68,363
195,2023-02-08,Binance Coin,BNB,33532.71,34597.42,31518.45,32393.38,41924298254,97824390103.46559,153391,15.36,-0.43,4723
196,2023-02-09,Bitcoin,BTC,18474.34,19129.77,18094.44,18900.09,559111280,856693737.332417,292577,10.54,-0.94,2087
197,2023-02-09,Ethereum,ETH,46961.14,47720.44,44764.68,46186.77,39139154156,67854570112.239845,415566,35.66,-0.62,719
198,2023-02-09,Cardano,ADA,8237.91,8446.22,7878.69,8122.98,34427837813,79721341219.51276,193684,2.68,-0.8,150
199,2023-02-09,Solana,SOL,47454.98,50722.5,46669.25,49422.43,18943820365,35469978708.93073,65067,13.86,-0.9,1554
200,2023-02-09,Binance Coin,BNB,33850.97,35826.12,33248.34,34500.85,16716553786,33007264104.906902,254305,36.11,-0.59,1196
201,2023-02-10,Bitcoin,BTC,16242.65,17045.08,15995.46,16548.52,49985982104,105284406519.29138,150101,1.91,-0.53,3492
202,2023-02-10,Ethereum,ETH,21220.66,22645.9,20374.1,22120.97,46913115840,99432339892.10126,140559,46.13,0.21,4317
203,2023-02-10,Cardano,ADA,5625.19,5857.15,5359.2,5766.84,36905313941,91542599759.27563,319667,4.05,0.54,1905
204,2023-02-10,Solana,SOL,8287.24,8482.92,7650.08,8004.86,44827846767,88796630099.1669,214760,4.48,0.97,964
205,2023-02-10,Binance Coin,BNB,32105.7,34157.69,30673.73,32616.16,29830216411,69056129439.64369,476334,5.47,-0.92,4531
206,2023-02-11,Bitcoin,BTC,3859.97,3936.19,3710.04,3828.9,11253920941,20305434699.16144,317868,48.01,-0.13,2679
207,2023-02-11,Ethereum,ETH,46411.71,46878.61,43130.56,45040.29,32184431102,59564099761.24519,485947,40.17,-0.32,4707
208,2023-02-11,Cardano,ADA,22451.83,23420.63,21687.03,22396.95,44907049639,98295837156.07945,197045,14.93,-0.5,1803
209,2023-02-11,Solana,SOL,26311.28,26947.31,25231.86,26470.21,4234443545,9034793139.474684,17592,27.88,-0.19,4935
210,2023-02-11,Binance Coin,BNB,12956.59,13476.46,12413.86,12779.12,11212060975,21437162840.88354,296707,19.67,0.56,1948
